3836 O15041,P22736,P05067,Q15717,P05412,Q14258,O14980,Q9Y4D7 F1SBX2,A0A287ANK9,P79307,D3K5N7,A0A287A2R9,K7GR70,A0A287BHC9,F1SPK1
3836 P09683,P13569,P05067,Q15717,P05412,Q14258,O14980,P32241 A0A286ZRG5,A0A286ZZ96,P79307,D3K5N7,A0A287A2R9,K7GR70,A0A287BHC9,D9IWC2
3836 P09683,P13569,P05067,Q15717,P05412,Q14258,O14980,P32241 A0A286ZRG5,A0A286ZZ96,P79307,D3K5N7,A0A287A2R9,K7GR70,A0A287BHC9,A0A287BT69
4117 Q7Z5P4,P04629,Q8IWL3,Q14258,P05067,Q15717,Q92905,O75521 I3L5K3,F1RHK6,A0A287AIR5,K7GR70,P79307,D3K5N7,F2Z540,F1RWZ4
4117 B1AVT0,P04629,Q8IWL3,Q14258,P05067,Q15717,Q92905,Q66K14 I3L5K3,F1RHK6,A0A287AIR5,K7GR70,P79307,D3K5N7,F2Z540,F1RWZ4
1623 P04629,P05067,Q96LU5,P04637,Q13315,Q7Z7L7,P05412,Q15717 F1RHK6,P79307,F1S8V0,A0A287B4M4,A7LKB1,A0A287AGJ6,K7GR70,D3K5N7
3530 Q9HC10,Q8IWL3,P04629,Q14258,Q15717,P49736,P05067,Q9UEW8 A0A287BS85,A0A287AIR5,F1RHK6,K7GR70,D3K5N7,F1SPF3,P79307,I3LIX4
3530 Q9HC10,Q8IWL3,P04629,Q14258,Q15717,P49736,P05067,Q9UEW8 F1SN65,A0A287AIR5,F1RHK6,K7GR70,D3K5N7,F1SPF3,P79307,I3LIX4
3530 Q9HC10,Q8IWL3,P04629,P05412,Q15717,P49736,P05067,Q9UEW8 A0A287BS85,A0A287AIR5,F1RHK6,K7GR70,D3K5N7,F1SPF3,P79307,I3LIX4
3530 Q9HC10,Q8IWL3,P04629,P05412,Q15717,P49736,P05067,Q9UEW8 F1SN65,A0A287AIR5,F1RHK6,K7GR70,D3K5N7,F1SPF3,P79307,I3LIX4
3530 Q13621,Q8IWL3,P04629,Q14258,Q15717,P49736,P05067,Q9UEW8 A0A287BS85,A0A287AIR5,F1RHK6,K7GR70,D3K5N7,F1SPF3,P79307,I3LIX4
3530 Q13621,Q8IWL3,P04629,Q14258,Q15717,P49736,P05067,Q9UEW8 F1SN65,A0A287AIR5,F1RHK6,K7GR70,D3K5N7,F1SPF3,P79307,I3LIX4
3530 Q13621,Q8IWL3,P04629,P05412,Q15717,P49736,P05067,Q9UEW8 A0A287BS85,A0A287AIR5,F1RHK6,K7GR70,D3K5N7,F1SPF3,P79307,I3LIX4
